company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code
/organization/acopia-networks,Acopia Networks,|Software|,Software,USA,MA,Boston,Lowell,/organization/f5-networks,F5 Networks,|Communications Hardware|Technology|Virtualization|Consumer Electronics|Optimization|Services|Meeting Software|Security|None|,Communications Hardware,USA,WA,Seattle,Seattle,2007-08-06T00:00:00,2007-08,2007-Q3,2007,"210,000,000",USD
/organization/acoustic-technologies,Acoustic Technologies,|Software|,Software,USA,TX,Austin,Austin,/organization/cirrus-logic,Cirrus Logic,|Semiconductors|,Semiconductors,USA,TX,Austin,Austin,2013-10-01T00:00:00,2013-10,2013-Q4,2013,,USD
/organization/acquaintable,Acquaintable,|Curated Web|,Curated Web,USA,NY,New York City,New York,/organization/likebright,LikeBright,|Finance|Private Social Networking|Facebook Applications|Reputation|Online Dating|Social Media|Curated Web|,Finance,USA,WA,Seattle,Seattle,2013-10-01T00:00:00,2013-10,2013-Q4,2013,,USD
/organization/acquity-group,Acquity Group,|Design|User Experience Design|Technology|Web Presence Management|E-Commerce|,Design,USA,IL,Chicago,Chicago,/organization/accenture,Accenture,|Business Services|Outsourcing|Consulting|,Business Services,USA,CA,San Diego,San Diego,2013-05-19T00:00:00,2013-05,2013-Q2,2013,"316,000,000",USD
/organization/actacell,Actacell,|Search|Batteries|Clean Technology|,Clean Technology,USA,TX,Austin,Austin,/organization/contour-energy-systems,Contour Energy Systems,|Clean Technology|,Clean Technology,USA,CA,Ontario - Inland Empire,Azusa,2012-09-06T00:00:00,2012-09,2012-Q3,2012,,USD
/organization/acteksoft,ActekSoft,|Software|,Software,USA,AL,"Birmingham, AL",Birmingham,/organization/callidus-software,CallidusCloud,|Technology|Software|,Technology,USA,CA,SF Bay Area,Pleasanton,2010-01-11T00:00:00,2010-01,2010-Q1,2010,,USD
/organization/actimis-pharmaceuticals,Actimis Pharmaceuticals,|Biotechnology|,Biotechnology,USA,CA,San Diego,San Diego,/organization/boehringer-ingelheim,Boehringer Ingelheim,|Biotechnology|,Biotechnology,DEU,,Rheinland-Pfalz,Ingelheim Am Rhein,2008-06-17T00:00:00,2008-06,2008-Q2,2008,"515,000,000",USD
/organization/actionengine,Action Engine,|Mobile|,Mobile,USA,WA,Omaha,Bellevue,/organization/mobui,Mobui,|Brand Marketing|Mobile|,Mobile,USA,WA,Seattle,Redmond,2008-10-13T00:00:00,2008-10,2008-Q4,2008,,USD
/organization/active-aero-group-inc,Active Aero Group,|Logistics Company|,Logistics Company,USA,MI,Detroit,Belleville,/organization/roadrunner-transportation-systems,Roadrunner Transportation Systems,|Public Transportation|,Public Transportation,USA,WI,Milwaukee,Cudahy,2014-08-12T00:00:00,2014-08,2014-Q3,2014,"115,000,000",USD
/organization/active-reasoning,Active Reasoning,|Software|,Software,USA,CA,SF Bay Area,San Mateo,/organization/oracle,Oracle Corporation,|Software|Hardware|Enterprise Software|,Enterprise Software,USA,CA,SF Bay Area,Redwood City,2007-09-30T00:00:00,2007-09,2007-Q3,2007,,USD
/organization/active-voice-corporation,Active Voice Corporation,|Social Media|,Social Media,USA,WA,Seattle,Seattle,/organization/cisco,Cisco,|Software|Hardware|Networking|Web Hosting|,Software,USA,CA,SF Bay Area,San Jose,2000-11-10T00:00:00,2000-11,2000-Q4,2000,,USD
/organization/activebuilding,ActiveBuilding,|Curated Web|,Curated Web,USA,WA,Seattle,Seattle,/organization/realpage,RealPage,|Software|,Software,USA,TX,Atlanta,Carrollton,2013-10-29T00:00:00,2013-10,2013-Q4,2013,,USD
/organization/activecause,ActiveCause,|CRM|Nonprofits|Payments|Sales and Marketing|Non Profit|Humanitarian|Curated Web|,CRM,USA,NY,New York City,New York,/organization/ingk-labs,Ingk Labs,|Payments|Virtual Currency|Humanitarian|SaaS|Finance|Angels|Venture Capital|Incubators|News|,News,USA,NY,New York City,New York,2011-09-13T00:00:00,2011-09,2011-Q3,2011,,USD
/organization/actividentity,ActivIdentity,|Enterprise Software|,Enterprise Software,USA,CA,SF Bay Area,Fremont,/organization/hid-global,HID Global,|Security|,Security,USA,CA,Anaheim,Irvine,2010-12-16T00:00:00,2010-12,2010-Q4,2010,,USD
/organization/acton-pharmaceuticals,Acton Pharmaceuticals,|Biotechnology|,Biotechnology,USA,MA,Boston,Marlborough,/organization/meda,Meda,|Biotechnology|,Biotechnology,SWE,,Stockholm,Solna,2013-08-30T00:00:00,2013-08,2013-Q3,2013,"135,000,000",USD
